edge_id:int,source_id:int,target_id:int,label_id:int
0,146,2665,178
1,265,1183,156
2,382,2100,127
3,467,1176,224
4,467,6495,229
5,711,7038,134
6,733,3341,155
7,733,920,207
8,776,1161,222
9,786,5450,160
10,829,3155,160
11,920,4319,127
12,920,733,207
13,924,5965,156
14,924,6411,156
15,1077,6410,98
16,1077,3262,159
17,1121,890,156
18,1145,4548,56
19,1146,5450,224
20,1163,5037,191
21,1179,5263,156
22,1183,1077,159
23,1273,6165,156
24,1434,1145,38
25,1434,1145,91
26,1443,1154,38
27,2160,3313,160
28,2274,3262,157
29,2300,2290,160
30,2300,2658,169
31,2300,5613,169
32,2525,3724,56
33,2624,5736,53
34,2665,5323,105
35,2665,146,175
36,2695,6823,169
37,2705,4208,160
38,2775,1169,156
39,3155,7053,38
40,3162,3155,127
41,3186,959,0
42,3186,1272,0
43,3232,3155,127
44,3262,7075,142
45,3341,733,127
46,3341,733,142
47,3450,3724,177
48,3535,6410,18
49,3535,6410,65
50,3535,5037,155
51,3535,5037,191
52,3629,3155,127
53,3724,2525,87
54,3758,3159,2
55,3800,1121,185
56,3825,1077,160
57,3922,4271,38
58,3987,3155,157
59,4069,3885,56
60,4069,6111,56
61,4084,238,160
62,4262,5450,229
63,4383,1375,163
64,4393,3912,38
65,4412,6795,53
66,4417,1183,229
67,4484,146,160
68,4616,3450,56
69,4635,1145,123
70,4702,5736,134
71,4716,1176,156
72,5037,985,6
73,5037,3535,142
74,5037,4404,169
75,5046,5244,156
76,5046,4534,160
77,5202,1122,38
78,5423,1121,38
79,5423,6994,38
80,5423,1121,150
81,5423,1121,173
82,5423,1464,229
83,5441,448,105
84,5447,1140,38
85,5450,4262,229
86,5463,4271,38
87,5496,5682,160
88,5661,5441,86
89,5661,5441,170
90,5678,1176,63
91,5678,6635,165
92,5678,1176,185
93,5736,2624,53
94,5788,1122,38
95,5884,2083,127
96,5965,2083,127
97,5965,2460,208
98,6332,1122,156
99,6407,4286,38
100,6410,1077,98
101,6410,1077,123
102,6422,5370,38
103,6422,5370,61
104,6665,1145,0
105,6665,1971,0
106,6785,2457,56
107,6794,1148,156
108,6795,4412,53
109,6823,6711,38
110,7038,711,134
111,7075,3262,155
112,7075,4020,160
113,5,3931,222
114,39,680,160
115,45,545,56
116,49,2457,56
117,174,3159,160
118,238,5319,222
119,293,2753,156
120,545,5584,156
121,680,39,127
122,711,6344,53
123,733,920,53
124,733,3341,53
125,733,3155,56
126,733,3341,103
127,733,3341,155
128,745,1971,160
129,873,4407,160
130,920,733,53
131,920,733,127
132,920,4319,127
133,920,6344,142
134,921,1188,157
135,925,1077,98
136,1013,6047,6
137,1013,6047,56
138,1013,2442,160
139,1077,925,98
140,1077,2290,103
141,1077,925,123
142,1077,4313,142
143,1077,5196,156
144,1077,6411,159
145,1077,5037,169
146,1109,6861,53
147,1122,680,115
148,1145,226,56
149,1145,5094,156
150,1161,2442,56
151,1161,4114,156
152,1176,6635,49
153,1176,6635,145
154,1181,5037,6
155,1189,4313,156
156,1215,5395,160
