vertex_id:int,label_id:int,name:string,type:string,country:string
0,0,10_Downing_Street,10 Downing Street,Unknown
1,0,A.K._Singh,A.K. Singh,Unknown
2,0,A.P._Sharma,A.P. Sharma,Unknown
3,0,AB_Lithuanian_Gas,AB Lithuanian Gas,Unknown
4,0,ACT_Party,ACT Party,Unknown
5,0,ADF-NALU,ADF-NALU,Unknown
6,0,AIDESEP,AIDESEP,Unknown
7,0,AK_Singh,AK Singh,Unknown
8,0,ANC_Youth_League,ANC Youth League,Unknown
9,0,ANS_Group_of_Companies,ANS Group of Companies,Unknown
10,0,ASEAN_Defense_Ministers,ASEAN Defense Ministers,Unknown
11,0,AT&T,AT&T,Unknown
12,0,Aafia_Siddiqui,Aafia Siddiqui,Unknown
13,0,Aam_Aadmi_Party,Aam Aadmi Party,Unknown
14,0,Aamir_Khan,Aamir Khan,Unknown
15,0,Abbas_Medlej,Abbas Medlej,Unknown
16,0,Abbot_(Thailand),Abbot,Thailand
17,0,Abdallah_al-Maatouq,Abdallah al-Maatouq,Unknown
18,0,Abdel_Fattah_Al-Sisi,Abdel Fattah Al-Sisi,Unknown
19,0,Abdelhamid_Abou_Zeid,Abdelhamid Abou Zeid,Unknown
20,0,Abdelilah_Benkirane,Abdelilah Benkirane,Unknown
21,0,Abdelkader_Messahel,Abdelkader Messahel,Unknown
22,0,Abdelkader_Taleb_Oumar,Abdelkader Taleb Oumar,Unknown
23,0,Abdeslam_Bouchouareb,Abdeslam Bouchouareb,Unknown
24,0,Abdi_Shakur_Sheikh_Hassan,Abdi Shakur Sheikh Hassan,Unknown
25,0,Abdikarim_Hussein_Guled,Abdikarim Hussein Guled,Unknown
26,0,Abdirahman_Ducaale_Bayle,Abdirahman Ducaale Bayle,Unknown
27,0,Abdirahman_Mohamed_Farole,Abdirahman Mohamed Farole,Unknown
28,0,Abdiweli_Shaykh_Ahmad,Abdiweli Shaykh Ahmad,Unknown
29,0,Abdiweli_Sheikh_Ahmed,Abdiweli Sheikh Ahmed,Unknown
30,0,Abdol-Reza_Mesri,Abdol-Reza Mesri,Unknown
31,0,Abdolreza_Rahmani-Fazli,Abdolreza Rahmani-Fazli,Unknown
32,0,Abdou_Labo,Abdou Labo,Unknown
33,0,Abdoulaye_Bathily,Abdoulaye Bathily,Unknown
34,0,Abdoulaye_Diop,Abdoulaye Diop,Unknown
35,0,Abdoulaye_Seck,Abdoulaye Seck,Unknown
36,0,Abdoulaye_Wade,Abdoulaye Wade,Unknown
37,0,Abdul'aziz_Abubakar_Yari,Abdul'aziz Abubakar Yari,Unknown
38,0,Abdul_Aziz,Abdul Aziz,Unknown
39,0,Abdul_Hamid,Abdul Hamid,Unknown
40,0,Abdul_Kalam,Abdul Kalam,Unknown
41,0,Abdul_Karim_Tunda,Abdul Karim Tunda,Unknown
42,0,Abdul_Madzhid,Abdul Madzhid,Unknown
43,0,Abdul_Rahim_Wardak,Abdul Rahim Wardak,Unknown
44,0,Abdulla_Yameen,Abdulla Yameen,Unknown
45,0,Abdullah_Abdullah,Abdullah Abdullah,Unknown
46,0,Abdullah_Gül,Abdullah Gül,Unknown
47,0,Abdullah_bin_Nasser_bin_Khalifa_Al-Thani,Abdullah bin Nasser bin Khalifa Al-Thani,Unknown
48,0,Abdullatif_Al-Zayani,Abdullatif Al-Zayani,Unknown
49,0,Abdullatif_bin_Rashid_Al-Zayani,Abdullatif bin Rashid Al-Zayani,Unknown
50,0,Abdulrahman_Kinana,Abdulrahman Kinana,Unknown
51,0,Abdulsalami_Alhaji_Abubakar,Abdulsalami Alhaji Abubakar,Unknown
52,0,Abhisit_Vejjajiva,Abhisit Vejjajiva,Unknown
53,0,Aborigine,Aborigine,Unknown
54,0,Abraham_Tekeste,Abraham Tekeste,Unknown
55,0,Abu_Azmi,Abu Azmi,Unknown
56,0,Abu_Bakr_Abdullah_al-Qirbi,Abu Bakr Abdullah al-Qirbi,Unknown
57,0,Abu_Bakr_al-Baghdadi,Abu Bakr al-Baghdadi,Unknown
58,0,Abu_Dhabi_Education_Council,Abu Dhabi Education Council,Unknown
59,0,Abu_Misry_Mama,Abu Misry Mama,Unknown
60,0,Abu_Musab_al-Zarqawi,Abu Musab al-Zarqawi,Unknown
